word_simplified,word_traditional,pinyin,pinyin_style2,hsk30_level,hsk30_level_zh,cc_cedict_english_definition
坏,壞,huài,huai4,1,一级,bad/spoiled/broken/to break down/(suffix) to the utmost
回,"回,迴,逥",huí,hui2,1,一级,variant of 迴|回[hui2]
回答,回答,huí dá,hui2 da2,1,一级,to reply; to answer/reply; answer
回到,回到,huí dào,hui2 dao4,1,一级,to return to
回家,回家,huí jiā,hui2 jia1,1,一级,to return home
会,會,huì,hui4,1,一级,to balance an account/accounting/accountant
回来,回來,huí lái,hui2 lai2,1,一级,to return; to come back
回去,回去,huí qù,hui2 qu4,1,一级,to return/to go back
火车,火車,huǒ chē,huo3 che1,1,一级,"train/CL:列[lie4],節|节[jie2],班[ban1],趟[tang4]"
记,記,jì,ji4,1,一级,"to record/to note/to memorize/to remember/mark/sign/classifier for blows, kicks, shots"
机场,機場,jī chǎng,ji1 chang3,1,一级,"airport; airfield/(slang) service provider for Shadowsocks or similar software for circumventing Internet censorship/CL:家[jia1],處|处[chu4]"
鸡蛋,雞蛋,jī dàn,ji1 dan4,1,一级,"(chicken) egg/hen's egg/CL:個|个[ge4],打[da2]"
记得,記得,jì de,ji4 de,1,一级,to remember
几,"幾,几",jǐ,ji3,1,一级,how much/how many/several/a few
机票,機票,jī piào,ji1 piao4,1,一级,air ticket/passenger ticket/CL:張|张[zhang1]
记住,記住,jì zhù,ji4 zhu4,1,一级,to remember/to bear in mind/to learn by heart
家,"家,傢",jiā,jia1,1,一级,"home/family/(polite) my (sister, uncle etc)/classifier for families or businesses/refers to the philosophical schools of pre-Han China/noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian/CL:個|个[ge4]"
家里,家裡,jiā lǐ,jia1 li3,1,一级,home
家人,家人,jiā rén,jia1 ren2,1,一级,family member/(old) servant
间,間,jiān,jian1,1,一级,gap/to separate/to thin out (seedlings)/to sow discontent
见面,見面,jiàn miàn,jian4 mian4,1,一级,to meet; to see each other/CL:次[ci4]
