hanzi_sc,hanzi_trad,pinyin,pinyin_style2,level,level_zh,cc_cedict_definitions
束,束,shù,shu4,3,初等|三级,"to bind/bunch/bundle/classifier for bunches, bundles, beams of light etc/to control"
存,存,cún,cun2,3,初等|三级,to exist/to deposit/to store/to keep/to survive
代,代,dài,dai4,3,初等|三级,to substitute/to act on behalf of others/to replace/generation/dynasty/age/period/(historical) era/(geological) eon
整,整,zhěng,zheng3,3,初等|三级,exactly/in good order/whole/complete/entire/in order/orderly/to repair/to mend/to renovate/(coll.) to fix sb/to give sb a hard time/to mess with sb
除,除,chú,chu2,3,初等|三级,to get rid of/to remove/to exclude/to eliminate/to wipe out/to divide/except/not including
台,台檯臺颱,tái,tai2,3,初等|三级,typhoon
按,按,àn,an4,3,初等|三级,to press/to push/to leave aside or shelve/to control/to restrain/to keep one's hand on/to check or refer to/according to/in the light of/(of an editor or author) to make a comment
设,設,shè,she4,3,初等|三级,to set up; to put in place/(math.) given; suppose; if
戏,戲,xì,xi4,3,初等|三级,"trick/drama/play/show/CL:齣|出[chu1],場|场[chang3],臺|台[tai2]"
精,精,jīng,jing1,3,初等|三级,essence/extract/vitality/energy/semen/sperm/mythical goblin spirit/highly perfected/elite/the pick of sth/proficient (refined ability)/extremely (fine)/selected rice (archaic)
神,神,shén,shen2,3,初等|三级,god; deity/supernatural; magical; mysterious/spirit; mind; energy/lively; expressive/look; expression/(coll.) awesome; amazing
注,注註,zhù,zhu4,3,初等|三级,to register/to annotate/note/comment
各,各,gè,ge4,3,初等|三级,each/every
另,另,lìng,ling4,3,初等|三级,other/another/separate/separately
双,雙,shuāng,shuang1,3,初等|三级,two/double/pair/both/even (number)
线,線,xiàn,xian4,3,初等|三级,"thread/string/wire/line/CL:條|条[tiao2],股[gu3],根[gen1]/(after a number) tier (unofficial ranking of a Chinese city)"
约,約,yuē,yue1,3,初等|三级,to make an appointment/to invite/approximately/pact/treaty/to economize/to restrict/to reduce (a fraction)/concise
保,保,bǎo,bao3,3,初等|三级,to defend; to protect; to keep/to guarantee; to ensure/civil administration unit in the baojia 保甲[bao3 jia3] system (old)
转,轉,zhuǎn,zhuan3,3,初等|三级,"to revolve/to turn/to circle about/to walk about/classifier for revolutions (per minute etc): revs, rpm/classifier for repeated actions"
突,突,tū,tu1,3,初等|三级,to dash/to move forward quickly/to bulge/to protrude/to break through/to rush out/sudden/Taiwan pr. [tu2]
终,終,zhōng,zhong1,3,初等|三级,end/finish
联,聯,lián,lian2,3,初等|三级,(bound form) to ally oneself with; to unite; to combine; to join/(bound form) (poetry) antithetical couplet
指,指,zhǐ,zhi3,3,初等|三级,finger/to point at or to/to indicate or refer to/to depend on/to count on/(of hair) to stand on end
标,標,biāo,biao1,3,初等|三级,"mark/sign/label/to mark with a symbol, label, lettering etc/to bear (a brand name, registration number etc)/prize/award/bid/target/quota/(old) the topmost branches of a tree/visible symptom/classifier for military units"
拍,拍,pāi,pai1,3,初等|三级,to pat/to clap/to slap/to swat/to take (a photo)/to shoot (a film)/racket (sports)/beat (music)
金,金,jīn,jin1,3,初等|三级,gold/chemical element Au/generic term for lustrous and ductile metals/money/golden/highly respected/one of the eight categories of ancient musical instruments 八音[ba1 yin1]
管,管,guǎn,guan3,3,初等|三级,to take care (of)/to control/to manage/to be in charge of/to look after/to run/to care about/tube/pipe/woodwind/classifier for tube-shaped objects/particle similar to 把[ba3] in 管...叫 constructions/writing brush/(coll.) to/towards
根,根,gēn,gen1,3,初等|三级,"root/basis/classifier for long slender objects, e.g. cigarettes, guitar strings/CL:條|条[tiao2]/radical (chemistry)"
容,容,róng,rong2,3,初等|三级,to hold/to contain/to allow/to tolerate/appearance/look/countenance
易,易,yì,yi4,3,初等|三级,"easy/amiable/to change/to exchange/prefix corresponding to the English adjective suffix ""-able"" or ""-ible"""
程,程,chéng,cheng2,3,初等|三级,rule/order/regulations/formula/journey/procedure/sequence
建,建,jiàn,jian4,3,初等|三级,to establish/to found/to set up/to build/to construct
议,議,yì,yi4,3,初等|三级,to comment on/to discuss/to suggest
济,濟,jì,ji4,3,初等|三级,to cross a river/to aid or relieve/to be of help
曾,曾,céng,ceng2,3,初等|三级,"great- (grandfather, grandchild etc)"
民,民,mín,min2,3,初等|三级,(bound form) the people/inhabitants of a country
坚,堅,jiān,jian1,3,初等|三级,strong/solid/firm/unyielding/resolute
规,規,guī,gui1,3,初等|三级,compass/a rule/regulation/to admonish/to plan/to scheme
环,環,huán,huan2,3,初等|三级,ring/hoop/loop/(chain) link/classifier for scores in archery etc/to surround/to encircle/to hem in
境,境,jìng,jing4,3,初等|三级,border/place/condition/boundary/circumstances/territory
证,證証,zhèng,zheng4,3,初等|三级,certificate/proof/to prove/to demonstrate/to confirm/variant of 症[zheng4]
责,責,zé,ze2,3,初等|三级,duty/responsibility/to reproach/to blame
造,造,zào,zao4,3,初等|三级,to make/to build/to manufacture/to invent/to fabricate/to go to/party (in a lawsuit or legal agreement)/crop/classifier for crops
显,顯,xiǎn,xian3,3,初等|三级,to make visible/to reveal/prominent/conspicuous/(prefix) phanero-
简,簡,jiǎn,jian3,3,初等|三级,simple/uncomplicated/letter/to choose/to select/bamboo strips used for writing (old)
专,專,zhuān,zhuan1,3,初等|三级,variant of 專|专[zhuan1]
基,基,jī,ji1,3,初等|三级,"(bound form) base; foundation/(bound form) radical (chemistry)/(bound form) gay (loanword from English into Cantonese, Jyutping: gei1, followed by orthographic borrowing from Cantonese)"
